,Ph,Ti,Ta,Th
2020-01-03 07:00:00+00:00,44.6702846,19.475,9.9,53.05
2020-01-03 08:00:00+00:00,70.9469226,19.7125,9.9,52.4
2020-01-03 09:00:00+00:00,70.9469226,20.1125,10,55.7
2020-01-03 10:00:00+00:00,63.0639312,20.4875,9.6,56.75
2020-01-03 11:00:00+00:00,39.414957,20.7,9,60.05
2020-01-03 12:00:00+00:00,42.0426208,20.65,8.6,60.5
2020-01-03 13:00:00+00:00,34.1596294,20.5875,8.4,62.15
2020-01-03 14:00:00+00:00,39.414957,20.7,8.2,57.85
2020-01-03 15:00:00+00:00,36.7872932,20.7,7.8,64.85
2020-01-03 16:00:00+00:00,15.7659828,20.6625,7.2,66.2
2020-01-03 17:00:00+00:00,0,20.625,6.4,53.3
2020-01-03 18:00:00+00:00,0,20.4625,5.8,40.4
2020-01-03 19:00:00+00:00,0,20.325,5.5,32.45
2020-01-03 20:00:00+00:00,0,20.15,5.1,25.7
2020-01-03 21:00:00+00:00,0,19.975,4.7,21.35
2020-01-03 22:00:00+00:00,0,19.825,4.5,17.85
2020-01-03 23:00:00+00:00,0,19.6875,4.4,15.5
2020-01-04 00:00:00+00:00,0,19.5625,4.2,13.5
2020-01-04 01:00:00+00:00,0,19.45,3.9,14.85
2020-01-04 02:00:00+00:00,0,19.3375,3.7,14
2020-01-04 03:00:00+00:00,0,19.25,3.8,13.55
2020-01-04 04:00:00+00:00,99.8512244,19.125,4.2,13.3
2020-01-04 05:00:00+00:00,49.9256122,19.1625,4.5,75.4
2020-01-04 06:00:00+00:00,47.2979484,19.3,4.4,72.25
2020-01-04 07:00:00+00:00,63.0639312,19.4,4.4,71.05
2020-01-04 08:00:00+00:00,86.7129054,19.6375,4.1,76.2
2020-01-04 09:00:00+00:00,78.829914,20.1,4.5,80.35
2020-01-04 10:00:00+00:00,63.0639312,20.4625,5.8,66.7
2020-01-04 11:00:00+00:00,0,20.5875,7.2,65.3
2020-01-04 12:00:00+00:00,0,20.35,7.7,44.95
2020-01-04 13:00:00+00:00,0,20.325,8.2,34.75
2020-01-04 14:00:00+00:00,0,20.1875,7.8,27.95
2020-01-04 15:00:00+00:00,0,20,7.5,23.15
2020-01-04 16:00:00+00:00,0,19.8375,7.6,19.35
2020-01-04 17:00:00+00:00,0,19.7,7.4,17.15
2020-01-04 18:00:00+00:00,0,19.5875,7.4,15.25
2020-01-04 19:00:00+00:00,0,19.45,7.3,13.75
2020-01-04 20:00:00+00:00,0,19.3375,7.2,12.4
2020-01-04 21:00:00+00:00,0,19.225,7,11.5
2020-01-04 22:00:00+00:00,0,19.1375,6.8,10.5
